id_student,gender,highest_education,age_band,num_of_prev_attempts,studied_credits,final_result,avg_score,total_click,needs_remedial
11391,M,HE Qualification,55<=,0,240,Pass,82.0,934,0
28400,F,HE Qualification,35-55,0,60,Pass,66.4,1435,0
31604,F,A Level or Equivalent,35-55,0,60,Pass,76.0,2158,0
32885,F,Lower Than A Level,0-35,0,60,Pass,54.4,1034,0
38053,M,A Level or Equivalent,35-55,0,60,Pass,68.0,2445,0
45462,M,HE Qualification,0-35,0,60,Pass,68.0,1492,0
45642,F,A Level or Equivalent,0-35,0,120,Pass,72.4,1428,0
52130,F,A Level or Equivalent,0-35,0,90,Pass,71.4,1894,0
57506,M,Lower Than A Level,35-55,0,60,Pass,74.0,1319,0
58873,F,A Level or Equivalent,0-35,0,60,Pass,73.2,1732,0
59185,M,Lower Than A Level,35-55,0,60,Pass,78.6,1102,0
62155,F,HE Qualification,0-35,0,60,Pass,76.0,3388,0
63400,M,Lower Than A Level,35-55,0,60,Pass,71.6,2737,0
65002,F,A Level or Equivalent,0-35,0,60,Withdrawn,67.0,176,1
70464,F,A Level or Equivalent,35-55,0,60,Pass,55.6,1053,0
74372,M,A Level or Equivalent,35-55,0,150,Fail,48.5,116,1
75091,M,A Level or Equivalent,35-55,0,60,Pass,66.0,2992,0
77367,M,A Level or Equivalent,0-35,0,60,Pass,70.4,680,0
91265,M,HE Qualification,0-35,0,60,Pass,70.8,1494,0
94961,M,Lower Than A Level,35-55,0,60,Withdrawn,65.33333333333333,1240,1
98094,M,Lower Than A Level,35-55,0,60,Pass,60.6,2839,0
100893,M,A Level or Equivalent,0-35,0,60,Pass,68.4,744,0
101781,M,Lower Than A Level,35-55,0,60,Pass,72.6,4104,0
102806,M,A Level or Equivalent,0-35,0,60,Pass,78.0,1944,0
102952,M,HE Qualification,0-35,0,60,Pass,76.6,1150,0
106247,M,HE Qualification,35-55,0,60,Withdrawn,60.0,465,1
106577,M,Lower Than A Level,0-35,0,60,Pass,53.4,733,0
110175,M,HE Qualification,35-55,0,60,Pass,63.4,998,0
111717,F,HE Qualification,35-55,0,60,Pass,81.0,2343,0
113295,M,Lower Than A Level,35-55,0,60,Pass,77.6,3553,0
114999,M,HE Qualification,35-55,0,60,Pass,72.8,1358,0
116541,M,HE Qualification,0-35,0,60,Pass,62.4,1886,0
116692,M,A Level or Equivalent,35-55,0,60,Pass,74.2,1108,0
