user_id,subject,topic,difficulty_level,total_questions,correct_answers,wrong_answers,topic_accuracy,attempt_count,study_duration_minutes,pre_test_score,post_test_score,improvement_score,mastery_level,needs_remedial,recommended_action,remediation_material_id,interaction_date
U00001,Business,Marketing Basics,easy,15,14,1,93.33,1,34,86.97,88.87,1.9,mastered,0,continue,M0077,2026-03-30
U00002,Digital Literacy,File Management,hard,20,16,4,80.0,3,75,74.61,76.51,1.9,mastered,0,continue,M0069,2026-05-23
U00003,Programming,Loops,hard,5,1,4,20.0,4,57,15.95,39.98,24.03,weak,1,remedial,M0023,2026-05-30
U00004,Science,Matter,medium,10,8,2,80.0,3,53,77.44,78.91,1.47,mastered,0,continue,M0058,2026-04-27
U00005,Mathematics,Geometry,hard,10,5,5,50.0,5,73,45.85,70.03,24.18,weak,1,remedial,M0007,2026-01-22
U00006,Business,Entrepreneurship,hard,10,3,7,30.0,1,40,25.6,44.05,18.45,weak,1,remedial,M0087,2026-05-22
U00007,Programming,Data Structures,easy,5,4,1,80.0,1,43,77.67,79.73,2.06,mastered,0,continue,M0030,2026-01-14
U00008,Business,Marketing Basics,easy,15,10,5,66.67,1,39,58.7,66.39,7.69,partial,0,review,M0077,2026-03-15
U00009,Science,Matter,medium,20,7,13,35.0,3,51,37.75,55.25,17.5,weak,1,remedial,M0059,2026-01-19
U00010,Mathematics,Statistics,medium,5,2,3,40.0,2,55,47.8,74.15,26.35,weak,1,remedial,M0010,2026-05-22
U00011,English,Vocabulary,hard,10,4,6,40.0,1,52,39.07,66.71,27.64,weak,1,remedial,M0033,2026-01-03
U00012,Mathematics,Fractions,hard,10,4,6,40.0,1,46,41.93,55.79,13.86,weak,1,remedial,M0001,2026-02-11
U00013,Programming,Functions,easy,15,10,5,66.67,3,35,69.54,82.66,13.12,partial,0,review,M0026,2026-01-08
U00014,Mathematics,Geometry,easy,15,4,11,26.67,2,46,29.28,42.4,13.12,weak,1,remedial,M0008,2026-05-10
U00015,English,Tenses,easy,15,9,6,60.0,2,33,61.91,66.03,4.12,partial,0,review,M0040,2026-03-21
U00016,Programming,Conditional Logic,easy,5,3,2,60.0,3,57,64.32,68.6,4.28,partial,0,review,M0020,2026-02-26
U00017,Programming,Data Structures,medium,10,1,9,10.0,3,55,14.44,36.55,22.11,weak,1,remedial,M0028,2026-03-12
U00018,Science,Cells,medium,10,2,8,20.0,2,38,25.71,54.85,29.14,weak,1,remedial,M0047,2026-05-03
U00019,Mathematics,Geometry,easy,20,20,0,100.0,1,33,100,100,0,mastered,0,continue,M0008,2026-03-06
U00020,Mathematics,Statistics,easy,5,5,0,100.0,2,45,95.49,98.99,3.5,mastered,0,continue,M0011,2026-02-12
U00021,Digital Literacy,Basic Troubleshooting,hard,5,0,5,0.0,2,64,2.58,14.3,11.72,weak,1,remedial,M0075,2026-03-29
U00022,Mathematics,Statistics,hard,5,3,2,60.0,3,62,61.48,68.35,6.87,partial,0,review,M0010,2026-01-23
U00023,English,Tenses,easy,20,19,1,95.0,2,28,92.5,97.48,4.98,mastered,0,continue,M0042,2026-03-26
